"";"Boubakary Soumare";"Djibril Sow";"Dodi Lukebakio";"Erik Lamela";"Ivan Rakitic";"Jesus Navas";"Juanlu Sanchez ";"Lucas Ocampos";"Marcos Acuna";"Mariano Diaz";"Nemanja Gudelj";"Orjan Nyland";"Sergio Ramos";"Youssef En-Nesyri"
"Boubakary Soumare";0;2;1;3;9;5;1;1;2;2;13;4;12;1
"Djibril Sow";3;0;1;0;0;2;0;0;3;0;4;1;2;0
"Dodi Lukebakio";1;2;0;0;5;4;0;0;0;0;1;0;1;0
"Erik Lamela";2;0;0;0;6;2;2;2;0;0;3;0;2;0
"Ivan Rakitic";2;2;1;1;0;6;6;9;8;0;6;1;6;1
"Jesus Navas";3;0;5;2;5;0;0;1;1;0;8;0;1;0
"Juanlu Sanchez ";1;0;0;2;2;0;0;1;0;0;5;0;0;0
"Lucas Ocampos";1;0;1;1;4;1;3;0;3;1;0;0;5;1
"Marcos Acuna";5;1;0;3;4;0;0;4;0;0;2;0;12;1
"Mariano Diaz";0;0;0;1;0;0;0;1;1;0;1;0;0;0
"Nemanja Gudelj";12;1;3;5;8;7;2;0;1;0;0;9;12;1
"Orjan Nyland";5;1;0;0;1;3;1;0;1;0;4;0;20;0
"Sergio Ramos";15;7;0;1;7;0;0;4;7;2;14;16;0;1
"Youssef En-Nesyri";0;1;0;0;1;0;0;0;1;0;0;0;0;0
