"";"Alex Meret";"Amir Rrahmani";"Giacomo Raspadori";"Giovanni Di Lorenzo";"Giovanni Simeone";"Hamed Junior Traore";"Jens Cajuste";"Jesper Lindstrom";"Juan Jesus";"Khvicha Kvaratskhelia";"Mathias Olivera";"Matteo Politano";"Stanislav Lobotka";"Victor Osimhen";"Zambo Anguissa"
"Alex Meret";0;7;0;4;0;0;0;0;4;0;3;0;2;0;1
"Amir Rrahmani";8;0;1;14;0;2;1;2;9;0;0;3;3;1;5
"Giacomo Raspadori";0;0;0;1;0;0;0;2;0;0;0;0;1;0;2
"Giovanni Di Lorenzo";2;7;2;0;0;1;1;1;1;0;0;23;0;1;13
"Giovanni Simeone";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Hamed Junior Traore";0;0;3;1;0;0;0;2;1;0;0;0;0;1;1
"Jens Cajuste";0;1;0;1;0;0;0;0;3;2;5;2;3;1;2
"Jesper Lindstrom";1;0;0;2;0;2;0;0;0;0;1;0;2;0;2
"Juan Jesus";11;7;0;1;0;1;4;0;0;5;14;0;1;2;2
"Khvicha Kvaratskhelia";0;1;0;1;0;0;2;0;3;0;1;0;3;1;1
"Mathias Olivera";5;2;0;0;0;4;4;4;8;12;0;0;5;1;4
"Matteo Politano";0;3;0;8;0;0;1;1;0;0;2;0;2;2;1
"Stanislav Lobotka";1;6;0;1;2;1;4;0;6;1;6;5;0;1;4
"Victor Osimhen";0;0;0;0;0;0;0;0;0;1;1;1;0;0;2
"Zambo Anguissa";2;5;5;13;0;1;0;2;2;2;2;3;5;2;0
