"";"Andriy Lunin";"Antonio Rudiger";"Brahim Diaz";"Dani Carvajal";"Eduardo Camavinga";"Federico Valverde";"Ferland Mendy";"Fran Garcia";"Joselu";"Kepa Arrizabalaga";"Lucas Vazquez";"Luka Modric";"Nacho Fernandez";"Nicolas Paz";"Rodrygo";"Toni Kroos";"Vinicius Junior"
"Andriy Lunin";0;3;0;1;1;1;4;0;0;0;0;1;2;0;0;1;0
"Antonio Rudiger";3;0;0;1;4;4;2;0;0;0;5;0;9;1;3;12;0
"Brahim Diaz";0;1;0;0;2;5;6;0;0;0;3;0;4;0;2;5;5
"Dani Carvajal";0;3;0;0;1;0;0;0;1;0;0;2;1;5;0;0;1
"Eduardo Camavinga";0;4;3;1;0;7;3;1;0;0;5;1;3;1;4;6;2
"Federico Valverde";0;4;6;0;4;0;1;0;0;1;10;0;0;0;4;7;3
"Ferland Mendy";0;2;9;0;5;1;0;0;0;0;0;1;13;0;3;12;11
"Fran Garcia";1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2
"Joselu";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kepa Arrizabalaga";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Lucas Vazquez";0;6;0;0;7;7;1;0;0;0;0;0;0;0;3;2;1
"Luka Modric";0;0;0;2;0;0;0;1;0;0;0;0;2;0;0;4;3
"Nacho Fernandez";6;10;3;0;1;4;9;1;0;0;0;1;0;0;1;13;2
"Nicolas Paz";0;0;0;6;1;0;0;1;0;0;0;0;0;0;0;1;0
"Rodrygo";0;1;4;0;2;4;3;0;0;0;1;0;1;0;0;3;4
"Toni Kroos";0;9;11;0;17;6;9;0;0;0;4;6;6;1;7;0;1
"Vinicius Junior";0;0;3;0;0;3;6;0;0;0;0;1;0;0;4;5;0
