"";"Abel Ruiz";"Adrian Marin";"Al Musrati";"Alvaro Djalo";"Andre Castro";"Bruma";"Cristian Borja ";"Joao Moutinho";"Joe Mendes";"Matheus";"Ricardo Horta";"Rodrigo Zalazar";"Serdar Saatci";"Sikou Niakate";"Simon Banza";"Vitor Carvalho"
"Abel Ruiz";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Adrian Marin";0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
"Al Musrati";0;0;0;5;1;6;2;2;11;0;4;7;7;12;4;2
"Alvaro Djalo";0;0;1;0;0;2;0;0;2;0;5;1;2;0;2;0
"Andre Castro";0;0;2;0;0;1;0;0;0;1;0;0;2;1;0;0
"Bruma";0;0;6;2;2;0;9;0;2;1;6;6;0;0;4;1
"Cristian Borja ";0;0;6;2;0;13;0;0;0;0;6;9;1;6;7;0
"Joao Moutinho";0;0;2;1;1;1;0;0;0;0;1;0;0;0;0;0
"Joe Mendes";0;0;16;6;0;1;0;0;0;2;5;0;15;1;2;0
"Matheus";0;1;5;0;0;0;2;0;4;0;0;1;5;8;0;0
"Ricardo Horta";0;0;2;2;0;7;2;0;7;1;0;5;3;1;3;0
"Rodrigo Zalazar";0;0;5;3;0;6;10;0;2;0;0;0;5;4;2;0
"Serdar Saatci";0;0;6;2;2;1;0;1;18;8;1;1;0;22;1;2
"Sikou Niakate";0;2;8;0;1;2;15;0;2;8;2;6;16;0;1;0
"Simon Banza";0;0;4;1;0;4;4;0;0;0;3;3;0;1;0;0
"Vitor Carvalho";1;0;2;0;0;1;0;0;0;0;0;0;1;0;2;0
