"";"Felix Nmecha";"Gregor Kobel";"Julian Brandt";"Julian Ryerson";"Karim Adeyemi";"Marcel Sabitzer";"Marco Reus";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Niklas Sule";"Salih Ozcan";"Youssoufa Moukoko"
"Felix Nmecha";0;0;4;2;5;1;0;2;0;2;2;3;0
"Gregor Kobel";0;0;0;1;0;0;0;11;0;10;3;0;0
"Julian Brandt";3;2;0;5;1;3;2;1;4;4;2;1;0
"Julian Ryerson";3;2;9;0;3;4;0;1;1;6;0;1;0
"Karim Adeyemi";2;0;3;2;0;3;0;0;0;0;1;1;0
"Marcel Sabitzer";3;0;4;3;4;0;0;3;0;6;0;0;0
"Marco Reus";0;0;0;0;0;0;0;1;0;1;2;1;0
"Mats Hummels";4;2;1;1;3;6;0;0;0;11;12;4;0
"Niclas Fullkrug";2;0;3;2;1;0;0;0;0;0;0;2;0
"Nico Schlotterbeck";0;10;3;8;0;2;0;15;0;0;0;3;0
"Niklas Sule";4;3;3;1;3;2;3;4;3;1;0;7;0
"Salih Ozcan";2;1;2;4;2;3;0;5;3;3;2;0;1
"Youssoufa Moukoko";0;0;0;0;0;0;0;0;0;0;0;0;0
