"";"Alessandro Florenzi";"Christian Pulisic";"Davide Bartesaghi";"Davide Calabria";"Fikayo Tomori";"Luka Jovic";"Mike Maignan";"Noah Okafor";"Olivier Giroud";"Rafael Leao";"Ruben Loftus-Cheek";"Samuel Chukwueze";"Theo Hernandez";"Tijjani Reijnders";"Tommaso Pobega";"Yunus Musah"
"Alessandro Florenzi";0;1;1;0;6;0;0;1;3;5;2;0;12;4;0;5
"Christian Pulisic";1;0;0;4;1;0;0;0;2;0;2;0;0;5;0;0
"Davide Bartesaghi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Davide Calabria";2;2;0;0;3;0;4;0;3;1;3;0;2;9;0;3
"Fikayo Tomori";3;4;0;11;0;1;3;0;1;0;1;0;6;3;0;1
"Luka Jovic";0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0
"Mike Maignan";2;0;0;4;5;0;0;0;0;0;0;0;5;0;0;0
"Noah Okafor";0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0
"Olivier Giroud";1;1;0;1;0;0;0;0;0;3;1;0;0;1;0;2
"Rafael Leao";4;1;0;0;0;0;0;0;1;0;1;0;3;1;0;1
"Ruben Loftus-Cheek";0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;1
"Samuel Chukwueze";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"Theo Hernandez";8;1;0;0;9;0;4;0;1;5;2;0;0;2;0;5
"Tijjani Reijnders";5;2;0;3;7;0;0;1;0;2;1;0;5;0;0;3
"Tommaso Pobega";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Yunus Musah";3;2;0;2;1;1;0;0;1;3;0;0;5;4;0;0
