"";"Beraldo";"Bradley Barcola";"Fabian Ruiz";"Gianluigi Donnarumma";"Goncalo Ramos";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Marco Asensio";"Marquinhos";"Nuno Mendes";"Ousmane Dembele";"Vitinha Ferreira";"Warren Zaire-Emery"
"Beraldo";0;0;4;2;1;1;2;7;1;9;11;4;7;2
"Bradley Barcola";0;0;4;0;0;2;0;3;0;2;0;0;2;5
"Fabian Ruiz";3;1;0;2;0;1;2;5;0;3;3;8;12;2
"Gianluigi Donnarumma";4;0;1;0;0;0;0;3;0;7;0;0;1;0
"Goncalo Ramos";0;0;0;0;0;0;0;0;0;1;0;1;0;0
"Kang-In Lee";2;2;2;0;0;0;2;2;0;2;0;11;10;0
"Kylian Mbappe";1;1;5;0;0;4;0;0;0;0;7;3;4;0
"Lucas Hernandez";7;10;2;3;0;2;1;0;1;15;2;2;6;2
"Marco Asensio";0;0;0;0;0;1;2;1;0;0;0;1;4;0
"Marquinhos";12;3;8;4;0;6;2;12;2;0;2;9;10;0
"Nuno Mendes";9;0;5;3;0;0;13;1;1;0;0;3;4;0
"Ousmane Dembele";1;2;2;0;0;5;7;2;1;4;2;0;7;1
"Vitinha Ferreira";7;3;8;1;0;11;2;8;3;14;6;10;0;6
"Warren Zaire-Emery";0;5;0;0;1;0;0;2;0;3;0;1;4;0
