"";"Achraf Hakimi";"Beraldo";"Bradley Barcola";"Fabian Ruiz";"Gianluigi Donnarumma";"Goncalo Ramos";"Kang-In Lee";"Kylian Mbappe";"Marco Asensio";"Marquinhos";"Nuno Mendes";"Ousmane Dembele";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;3;0;3;1;0;7;2;0;17;0;37;8;10
"Beraldo";3;0;1;10;5;0;1;2;1;36;19;0;8;2
"Bradley Barcola";0;0;0;0;0;0;0;2;1;0;3;0;5;0
"Fabian Ruiz";4;8;0;0;0;3;0;11;0;1;11;0;4;0
"Gianluigi Donnarumma";3;7;0;0;0;0;0;0;0;4;4;0;0;0
"Goncalo Ramos";1;0;0;2;0;0;0;1;0;1;0;0;2;2
"Kang-In Lee";9;1;1;0;0;0;0;0;1;1;1;0;0;0
"Kylian Mbappe";0;0;0;6;0;0;0;0;1;2;3;3;5;1
"Marco Asensio";0;1;1;0;0;0;0;1;0;0;4;0;3;0
"Marquinhos";27;30;1;4;4;0;2;0;0;0;1;8;3;8
"Nuno Mendes";1;23;4;4;0;1;1;7;3;8;0;1;10;2
"Ousmane Dembele";13;0;1;2;0;1;1;2;0;4;2;0;3;10
"Vitinha Ferreira";8;5;2;5;0;3;2;5;2;6;11;4;0;4
"Warren Zaire-Emery";11;5;0;4;2;0;0;0;1;6;1;5;5;0
