"";"Abdukodir Khusanov";"Angelo Fulgini";"Brice Samba";"David Costa";"Elye Wahi";"Facundo Medina";"Florian Sotoca";"Jonathan Gradit";"Kevin Danso";"Morgan Guilavogui";"Nampalys Mendy";"Neil El Aynaoui";"Przemyslaw Frankowski";"Ruben Aguilar";"Salis Samed"
"Abdukodir Khusanov";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Angelo Fulgini";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"Brice Samba";0;0;0;0;0;3;0;3;2;0;0;0;1;0;0
"David Costa";0;0;0;0;1;2;1;1;2;0;0;0;6;1;4
"Elye Wahi";0;0;0;1;0;1;0;0;0;0;0;0;0;0;2
"Facundo Medina";0;0;4;7;3;0;2;0;1;0;0;1;4;0;0
"Florian Sotoca";0;1;1;0;2;0;0;5;2;0;0;1;1;4;1
"Jonathan Gradit";0;1;2;0;0;2;8;0;0;0;0;0;0;3;4
"Kevin Danso";0;0;2;0;1;5;3;3;0;0;0;1;0;1;3
"Morgan Guilavogui";0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
"Nampalys Mendy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Neil El Aynaoui";0;0;0;1;2;1;0;0;3;0;0;0;0;2;2
"Przemyslaw Frankowski";0;0;0;9;2;4;2;2;0;0;0;2;0;0;2
"Ruben Aguilar";0;0;1;3;0;0;4;5;0;0;1;4;0;0;4
"Salis Samed";0;1;2;5;0;3;4;2;3;0;0;0;1;1;0
