"";"Anthony Racioppi";"Cheikh Niasse";"Darian Males";"Ebrima Colley";"Filip Ugrinic";"Jean-Pierre Nsame";"Joel Monteiro";"Lewin Blum";"Loris Benito";"Meschack Elia";"Miguel Chaiwa";"Mohamed Ali Camara";"Silvere Ganvoula";"Ulisses Garcia"
"Anthony Racioppi";0;5;2;0;2;0;0;1;1;0;0;2;0;6
"Cheikh Niasse";2;0;0;1;5;2;0;2;2;2;0;3;2;14
"Darian Males";0;2;0;0;0;1;0;0;0;2;0;0;0;1
"Ebrima Colley";0;0;0;0;1;1;0;0;0;1;1;0;0;4
"Filip Ugrinic";2;5;3;2;0;1;1;6;3;1;1;3;0;7
"Jean-Pierre Nsame";0;2;0;2;2;0;0;2;0;2;0;0;0;3
"Joel Monteiro";0;1;0;0;2;0;0;3;2;0;0;0;0;3
"Lewin Blum";2;1;4;3;7;4;1;0;1;2;0;2;1;0
"Loris Benito";7;2;0;0;1;0;1;0;0;1;0;2;0;7
"Meschack Elia";0;4;1;1;3;0;0;2;1;0;0;0;0;9
"Miguel Chaiwa";0;0;0;0;1;0;0;1;0;0;0;0;2;0
"Mohamed Ali Camara";10;0;2;1;1;0;0;4;0;0;0;0;0;1
"Silvere Ganvoula";0;0;0;1;1;0;0;0;0;1;1;0;0;0
"Ulisses Garcia";1;11;0;5;4;3;6;1;5;11;0;1;0;0
