"";"Antonio Rudiger";"Aurelien Tchouameni";"Brahim Diaz";"David Alaba";"Eduardo Camavinga";"Federico Valverde";"Fran Garcia";"Joselu";"Jude Bellingham";"Kepa Arrizabalaga";"Lucas Vazquez";"Luka Modric";"Nacho Fernandez";"Rodrygo";"Toni Kroos"
"Antonio Rudiger";0;9;0;3;7;1;0;2;6;4;11;2;15;2;10
"Aurelien Tchouameni";9;0;0;10;10;0;0;0;3;0;10;19;7;4;0
"Brahim Diaz";0;0;0;0;0;3;0;0;0;0;0;0;0;2;0
"David Alaba";3;8;0;0;14;1;2;3;12;3;0;3;14;8;2
"Eduardo Camavinga";8;13;0;9;0;0;0;4;8;2;9;10;10;6;0
"Federico Valverde";3;0;3;1;0;0;0;0;2;0;8;2;0;0;5
"Fran Garcia";0;0;0;1;0;0;0;0;1;2;1;0;0;1;7
"Joselu";0;2;1;3;1;0;1;0;2;0;1;2;3;0;1
"Jude Bellingham";4;2;2;5;9;1;2;5;0;0;8;9;6;5;0
"Kepa Arrizabalaga";6;1;0;2;3;1;2;0;0;0;3;1;8;0;3
"Lucas Vazquez";13;11;3;1;7;7;1;2;5;4;0;11;0;8;5
"Luka Modric";0;9;0;6;9;0;1;1;14;1;13;0;3;8;3
"Nacho Fernandez";11;12;0;21;10;1;0;1;7;6;1;3;0;3;1
"Rodrygo";3;4;0;7;6;2;0;2;5;0;6;5;0;0;0
"Toni Kroos";3;0;1;2;0;7;1;2;5;0;4;4;3;3;0
