"";"Aihen Munoz";"Alex Remiro";"Alvaro Odriozola";"Ander Barrene";"Aritz Elustondo";"Arsen Zakharyan";"Benat Turrientes";"Brais Mendez";"Carlos Fernandez";"Igor Zubeldia";"Martin Zubimendi";"Mikel Merino";"Mikel Oyarzabal";"Robin Le Normand";"Takefusa Kubo"
"Aihen Munoz";0;1;0;9;0;1;0;1;1;0;3;9;0;5;2
"Alex Remiro";1;0;0;0;0;0;0;2;0;2;1;1;0;2;0
"Alvaro Odriozola";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Ander Barrene";7;0;0;0;1;0;1;2;0;0;5;6;1;2;3
"Aritz Elustondo";1;0;0;0;0;0;3;6;0;7;3;0;4;0;6
"Arsen Zakharyan";2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Benat Turrientes";0;0;0;2;0;0;0;0;0;1;0;0;3;0;0
"Brais Mendez";0;0;0;4;7;0;0;0;0;1;4;1;1;1;5
"Carlos Fernandez";0;0;0;1;0;1;1;0;0;0;1;0;0;0;0
"Igor Zubeldia";0;8;0;0;8;0;1;2;1;0;1;5;2;4;2
"Martin Zubimendi";2;0;0;3;3;0;0;4;0;9;0;8;3;5;6
"Mikel Merino";6;1;0;11;2;1;0;6;2;1;9;0;5;2;0
"Mikel Oyarzabal";1;0;0;2;0;0;0;1;1;1;6;2;0;0;1
"Robin Le Normand";6;1;1;1;0;1;0;0;0;5;3;3;0;0;0
"Takefusa Kubo";0;0;0;4;3;0;0;4;0;1;3;2;0;0;0
