"";"Alexander Isak";"Anthony Gordon";"Bruno Guimaraes";"Callum Wilson";"Dan Burn";"Fabian Schar";"Jacob Murphy";"Jamaal Lascelles";"Joe Willock";"Joelinton";"Kieran Trippier";"Matt Targett";"Miguel Almiron";"Nick Pope";"Sandro Tonali";"Sean Longstaff"
"Alexander Isak";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Anthony Gordon";0;0;5;2;1;0;0;1;2;5;2;2;5;0;0;1
"Bruno Guimaraes";0;0;0;2;2;5;0;6;1;3;8;3;8;0;2;1
"Callum Wilson";0;2;1;0;0;0;0;0;0;0;1;0;0;0;1;0
"Dan Burn";0;8;1;1;0;9;0;0;0;7;1;0;0;0;0;0
"Fabian Schar";0;3;4;0;15;0;0;8;0;3;7;6;4;2;0;1
"Jacob Murphy";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Jamaal Lascelles";1;2;4;0;0;12;0;0;0;2;15;3;0;3;3;4
"Joe Willock";0;5;2;0;0;0;0;1;0;0;0;1;0;0;0;0
"Joelinton";0;5;8;1;3;2;0;0;0;0;1;0;2;0;0;2
"Kieran Trippier";0;2;8;1;0;8;2;12;1;2;0;0;9;4;6;4
"Matt Targett";0;8;4;0;0;3;0;1;6;0;0;0;0;0;0;0
"Miguel Almiron";2;4;6;2;0;0;0;1;1;1;9;0;0;0;1;2
"Nick Pope";0;1;0;1;1;6;0;9;1;1;2;0;0;0;0;0
"Sandro Tonali";0;0;0;0;0;0;0;1;0;0;7;0;2;0;0;0
"Sean Longstaff";0;0;2;1;0;4;0;1;0;0;4;0;2;1;0;0
