"";"Alex Balde";"Fermin Lopez";"Ferran Torres";"Gavi";"Ilkay Gundogan";"Joao Cancelo";"Joao Felix";"Jules Kounde";"Lamine Yamal";"Marc-Andre ter Stegen";"Marcos Alonso";"Oriol Romeu";"Robert Lewandowski";"Ronald Araujo";"Sergi Roberto"
"Alex Balde";0;2;0;3;11;1;15;18;1;4;1;3;0;2;0
"Fermin Lopez";0;0;1;2;1;0;0;1;0;0;0;0;0;0;0
"Ferran Torres";1;0;0;0;0;1;1;0;3;0;0;0;0;0;0
"Gavi";3;1;1;0;5;3;1;1;5;0;0;4;0;3;1
"Ilkay Gundogan";7;2;1;3;0;4;2;5;2;5;1;3;1;7;0
"Joao Cancelo";1;0;2;4;2;0;1;2;10;1;0;5;0;10;1
"Joao Felix";10;0;3;0;3;0;0;2;1;0;0;1;1;0;0
"Jules Kounde";17;0;0;1;7;2;3;0;0;8;0;9;0;20;0
"Lamine Yamal";0;0;3;0;3;4;4;2;0;0;0;1;2;2;0
"Marc-Andre ter Stegen";2;0;0;1;3;1;0;5;0;0;0;4;0;10;0
"Marcos Alonso";1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"Oriol Romeu";2;0;2;5;2;1;0;10;0;3;0;0;0;9;0
"Robert Lewandowski";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Ronald Araujo";3;0;0;6;8;8;1;14;3;9;0;7;0;0;0
"Sergi Roberto";0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
