"";"Aihen Munoz";"Alex Remiro";"Alvaro Odriozola";"Ander Barrene";"Aritz Elustondo";"Arsen Zakharyan";"Benat Turrientes";"Brais Mendez";"Hamari Traore";"Igor Zubeldia";"Jon Pacheco";"Martin Zubimendi";"Mikel Oyarzabal";"Mohamed Cho";"Takefusa Kubo";"Umar Sadiq"
"Aihen Munoz";0;2;0;5;1;20;8;0;0;12;12;4;2;2;0;0
"Alex Remiro";0;0;3;0;1;0;0;0;0;10;4;2;0;0;0;0
"Alvaro Odriozola";2;9;0;0;13;0;0;7;0;8;0;4;1;7;0;0
"Ander Barrene";0;0;0;0;0;2;1;0;1;0;1;0;0;1;0;2
"Aritz Elustondo";0;3;13;0;0;0;1;4;0;11;0;3;1;1;0;0
"Arsen Zakharyan";14;0;0;2;1;0;8;3;1;2;2;4;1;1;3;1
"Benat Turrientes";6;0;1;1;3;6;0;1;1;2;2;4;1;3;1;0
"Brais Mendez";2;0;4;0;2;0;1;0;0;3;2;5;1;3;0;0
"Hamari Traore";0;0;0;0;0;1;1;0;0;5;1;0;0;0;5;2
"Igor Zubeldia";17;5;8;0;13;4;4;2;2;0;13;3;1;2;2;0
"Jon Pacheco";10;1;0;1;0;4;1;0;3;15;0;5;1;0;0;0
"Martin Zubimendi";8;0;2;1;3;4;3;6;2;7;3;0;2;0;1;0
"Mikel Oyarzabal";3;0;1;0;0;2;2;1;0;3;0;3;0;2;0;0
"Mohamed Cho";3;0;4;0;1;3;1;3;0;0;0;1;0;0;0;0
"Takefusa Kubo";0;0;0;1;0;2;5;0;2;0;0;0;0;0;0;0
"Umar Sadiq";0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0
