"";"Alphonso Davies";"Bouna Sarr";"Eric Choupo-Moting";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Kingsley Coman";"Konrad Laimer";"Leroy Sane";"Mathys Tel";"Matthijs De Ligt";"Noussair Mazraoui";"Sven Ulreich"
"Alphonso Davies";0;0;0;1;4;4;9;0;6;6;0;0;1;0
"Bouna Sarr";0;0;0;0;1;0;1;0;0;0;1;3;0;0
"Eric Choupo-Moting";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Harry Kane";0;0;0;0;3;4;0;3;1;3;0;1;1;0
"Jamal Musiala";1;0;0;4;0;4;0;5;1;9;3;2;1;2
"Joshua Kimmich";4;2;0;0;4;0;9;4;7;3;1;7;6;2
"Kim Min-jae";9;0;0;1;2;8;0;0;2;0;0;5;0;8
"Kingsley Coman";0;0;0;4;4;3;0;0;1;2;0;0;11;0
"Konrad Laimer";4;0;0;3;1;4;4;3;0;0;0;2;0;1
"Leroy Sane";4;0;0;2;6;3;0;2;3;0;1;0;0;0
"Mathys Tel";0;2;0;0;2;1;0;0;1;0;0;0;0;0
"Matthijs De Ligt";0;1;0;1;4;2;2;2;1;0;0;0;4;7
"Noussair Mazraoui";0;0;0;0;3;9;0;7;0;0;0;5;0;0
"Sven Ulreich";2;0;0;1;0;4;6;0;1;1;0;2;1;0
