"";"Alex Meret";"Eljif Elmas";"Giacomo Raspadori";"Giovanni Di Lorenzo";"Giovanni Simeone";"Jens Cajuste";"Khvicha Kvaratskhelia";"Leo Ostigard";"Mario Rui";"Mathias Olivera";"Matteo Politano";"Natan";"Piotr Zielinski";"Stanislav Lobotka";"Victor Osimhen";"Zambo Anguissa"
"Alex Meret";0;0;0;3;0;0;0;3;0;0;2;9;0;1;0;0
"Eljif Elmas";0;0;1;3;0;2;2;0;0;0;0;1;2;2;0;2
"Giacomo Raspadori";0;3;0;1;0;0;0;0;0;0;0;1;0;1;0;0
"Giovanni Di Lorenzo";3;3;1;0;0;1;0;7;1;0;13;6;1;13;1;7
"Giovanni Simeone";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Jens Cajuste";0;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0
"Khvicha Kvaratskhelia";0;0;1;1;0;0;0;1;0;8;0;2;7;4;2;2
"Leo Ostigard";2;1;0;11;0;0;1;0;0;1;3;14;1;2;1;1
"Mario Rui";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"Mathias Olivera";1;0;0;0;0;0;15;3;0;0;0;10;12;8;0;1
"Matteo Politano";0;0;0;6;0;0;2;2;0;2;0;1;1;3;2;5
"Natan";7;2;0;4;1;1;5;8;0;17;1;0;3;7;0;2
"Piotr Zielinski";0;1;0;2;0;0;8;2;0;8;0;3;0;6;3;3
"Stanislav Lobotka";0;1;2;7;0;0;3;10;0;7;3;7;6;0;3;16
"Victor Osimhen";0;0;0;0;0;0;0;2;0;2;1;0;1;0;0;1
"Zambo Anguissa";0;1;0;8;0;0;3;3;0;2;3;2;8;10;0;0
