"";"Alessandro Bastoni";"Alexis Sanchez";"Benjamin Pavard";"Carlos Augusto";"Davide Frattesi";"Denzel Dumfries";"Federico Dimarco";"Francesco Acerbi";"Henrikh Mkhitaryan";"Kristjan Asllani";"Lautaro Martinez";"Marcus Thuram";"Marko Arnautovic";"Nicolo Barella";"Stefan de Vrij";"Yann Sommer"
"Alessandro Bastoni";0;0;3;6;0;0;0;0;2;2;0;0;0;2;9;3
"Alexis Sanchez";0;0;0;0;2;1;1;0;0;0;0;1;0;0;1;0
"Benjamin Pavard";1;1;0;2;1;9;1;2;1;3;2;2;1;6;6;7
"Carlos Augusto";6;0;0;0;0;1;7;3;0;2;2;0;1;5;1;1
"Davide Frattesi";0;2;1;0;0;0;1;0;0;0;0;2;0;1;1;0
"Denzel Dumfries";0;0;9;0;2;0;0;0;2;3;0;0;1;4;2;1
"Federico Dimarco";0;2;0;7;0;0;0;0;1;0;2;0;0;4;2;2
"Francesco Acerbi";0;0;2;1;0;1;1;0;0;0;0;1;0;1;0;2
"Henrikh Mkhitaryan";1;0;3;2;0;1;2;0;0;2;1;0;1;1;0;2
"Kristjan Asllani";4;0;0;2;0;1;0;0;2;0;2;0;2;3;5;1
"Lautaro Martinez";2;0;0;3;0;0;0;1;2;1;0;0;1;1;0;0
"Marcus Thuram";0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0
"Marko Arnautovic";0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0
"Nicolo Barella";1;3;7;4;1;3;3;0;2;4;0;0;2;0;3;1
"Stefan de Vrij";7;0;10;1;1;2;4;0;0;1;0;0;0;3;0;10
"Yann Sommer";6;0;8;2;1;0;1;1;2;3;0;0;0;1;1;0
