"";"Alexander Bah";"Anatoliy Trubin";"Angel Di Maria";"Antonio Silva";"Casper Tengstedt";"Chiquinho";"David Neres";"Fredrik Aursnes";"Joao Mario";"Joao Neves";"Morato";"Nicolas Otamendi";"Orkun Kokcu";"Petar Musa";"Rafa Silva";"Tiago Gouveia"
"Alexander Bah";0;0;11;1;2;5;4;1;1;17;1;13;2;7;3;1
"Anatoliy Trubin";5;0;0;1;0;1;0;1;0;3;3;7;0;0;0;0
"Angel Di Maria";7;0;0;1;0;0;0;0;0;4;0;2;2;1;3;0
"Antonio Silva";1;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0
"Casper Tengstedt";2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Chiquinho";2;0;0;0;1;0;5;3;0;2;2;1;0;0;1;1
"David Neres";1;0;0;0;0;3;0;2;0;1;0;0;0;0;2;0
"Fredrik Aursnes";2;5;1;0;0;3;2;0;0;5;18;4;7;1;6;2
"Joao Mario";1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
"Joao Neves";11;1;5;0;1;0;2;6;1;0;4;4;2;4;2;2
"Morato";3;4;0;0;0;2;0;20;0;3;0;10;2;1;2;0
"Nicolas Otamendi";21;2;2;0;0;1;0;5;1;7;9;0;1;1;1;0
"Orkun Kokcu";2;0;3;0;0;0;0;2;0;3;1;2;0;0;2;0
"Petar Musa";1;0;1;0;0;1;0;0;0;2;0;1;0;0;1;0
"Rafa Silva";0;0;1;0;0;0;0;7;2;3;1;2;2;2;0;0
"Tiago Gouveia";2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
