"";"Andriy Lunin";"Antonio Rudiger";"Aurelien Tchouameni";"Brahim Diaz";"Dani Carvajal";"Eduardo Camavinga";"Federico Valverde";"Ferland Mendy";"Joselu";"Jude Bellingham";"Luka Modric";"Rodrygo";"Toni Kroos";"Vinicius Junior"
"Andriy Lunin";0;2;7;0;0;2;0;0;0;0;0;0;1;0
"Antonio Rudiger";5;0;11;1;0;1;1;2;1;2;4;0;7;2
"Aurelien Tchouameni";11;14;0;0;4;7;1;0;0;2;4;0;7;0
"Brahim Diaz";0;0;0;0;1;1;0;1;0;0;1;0;0;0
"Dani Carvajal";0;0;8;2;0;8;1;0;0;3;4;1;1;1
"Eduardo Camavinga";1;4;5;0;4;0;5;4;0;1;2;2;4;3
"Federico Valverde";1;1;3;0;3;2;0;1;0;4;1;0;2;0
"Ferland Mendy";1;3;1;0;0;1;1;0;0;1;2;2;5;4
"Joselu";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Jude Bellingham";1;3;2;1;1;4;2;2;0;0;1;2;5;5
"Luka Modric";0;4;2;2;3;1;4;1;0;1;0;0;0;1
"Rodrygo";0;0;0;0;1;1;1;0;0;2;0;0;5;11
"Toni Kroos";3;5;9;0;1;8;0;5;0;5;0;4;0;5
"Vinicius Junior";0;0;0;0;0;1;1;0;0;5;1;9;6;0
