"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Jan Oblak";"Jose Gimenez";"Koke";"Marcos Llorente";"Mario Hermoso";"Nahuel Molina";"Pablo Barrios ";"Reinildo";"Rodrigo de Paul";"Samuel Lino";"Saul Niguez";"Stefan Savic"
"Alvaro Morata";0;0;1;0;0;0;1;0;0;0;1;0;0;2;0;0
"Angel Correa";0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0
"Antoine Griezmann";0;0;0;0;0;1;8;2;1;8;1;0;10;5;3;1
"Axel Witsel";0;0;3;0;0;5;7;2;0;7;0;0;5;1;1;0
"Jan Oblak";0;0;0;0;0;1;0;0;3;1;0;0;0;1;0;0
"Jose Gimenez";0;0;1;5;2;0;1;0;6;0;0;0;1;0;1;0
"Koke";4;2;9;6;0;3;0;5;5;7;3;1;15;4;1;0
"Marcos Llorente";3;2;4;0;0;0;8;0;0;2;2;1;6;1;0;2
"Mario Hermoso";0;0;1;0;1;4;9;0;0;0;0;0;2;13;3;0
"Nahuel Molina";0;0;8;3;0;0;8;7;0;0;0;0;3;0;0;0
"Pablo Barrios ";0;1;0;0;0;0;1;4;0;0;0;1;2;0;0;2
"Reinildo";0;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0
"Rodrigo de Paul";1;1;8;4;0;0;11;3;5;2;2;2;0;3;3;2
"Samuel Lino";0;0;6;1;0;1;6;0;7;0;1;1;6;0;2;0
"Saul Niguez";0;0;3;0;0;1;1;1;3;1;0;0;1;1;0;0
"Stefan Savic";0;1;1;2;0;0;1;4;0;0;1;1;1;0;0;0
