"";"Alexander Bah";"Anatoliy Trubin";"Angel Di Maria";"Arthur Cabral";"Chiquinho";"David Jurasek";"David Neres";"Fredrik Aursnes";"Joao Neves";"Juan Bernat";"Morato";"Nicolas Otamendi";"Orkun Kokcu";"Petar Musa";"Rafa Silva";"Tomas Araujo "
"Alexander Bah";0;0;2;0;0;0;1;1;3;0;0;4;2;0;1;0
"Anatoliy Trubin";1;0;0;0;0;0;0;0;2;1;7;1;4;0;0;2
"Angel Di Maria";1;0;0;0;0;0;1;2;5;1;0;3;0;0;2;2
"Arthur Cabral";0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1
"Chiquinho";0;0;0;0;0;1;3;1;4;1;3;2;0;1;0;1
"David Jurasek";0;0;0;3;2;0;3;0;1;0;0;0;0;0;0;0
"David Neres";0;0;1;2;3;2;0;1;5;3;0;0;2;0;7;3
"Fredrik Aursnes";0;0;1;0;4;0;3;0;1;9;2;1;6;0;6;0
"Joao Neves";3;0;7;0;3;2;5;3;0;2;6;8;3;1;3;8
"Juan Bernat";0;1;2;0;0;0;2;10;4;0;20;2;10;0;2;0
"Morato";0;8;0;0;3;2;0;3;3;18;0;14;2;0;0;0
"Nicolas Otamendi";9;1;4;1;2;0;1;1;9;5;9;0;2;0;1;6
"Orkun Kokcu";2;0;3;0;0;0;4;6;3;4;3;2;0;0;2;3
"Petar Musa";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"Rafa Silva";0;0;4;0;0;0;6;1;4;5;0;1;2;0;0;1
"Tomas Araujo ";0;1;4;0;0;0;3;2;7;0;3;4;3;0;2;0
