"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Jan Oblak";"Jose Gimenez";"Koke";"Marcos Llorente";"Mario Hermoso";"Memphis Depay";"Nahuel Molina";"Pablo Barrios ";"Rodrigo de Paul";"Rodrigo Riquelme";"Saul Niguez"
"Alvaro Morata";0;0;7;0;0;0;1;0;1;0;0;0;4;3;0
"Angel Correa";0;0;0;0;0;0;0;0;1;2;1;3;0;0;0
"Antoine Griezmann";11;0;0;0;0;2;1;1;2;1;2;3;4;7;0
"Axel Witsel";1;1;1;0;5;5;8;1;1;1;23;1;4;0;0
"Jan Oblak";0;0;0;7;0;2;0;0;5;0;2;0;1;1;0
"Jose Gimenez";1;0;0;8;3;0;3;0;12;0;4;0;5;2;0
"Koke";1;0;4;7;2;7;0;4;5;0;6;2;7;2;0
"Marcos Llorente";0;0;0;2;0;0;2;0;0;0;1;0;0;0;0
"Mario Hermoso";6;0;4;2;4;6;2;0;0;2;1;2;9;12;3
"Memphis Depay";0;3;1;0;0;0;0;0;1;0;1;0;0;4;0
"Nahuel Molina";3;2;2;9;1;1;10;7;0;3;0;5;7;0;3
"Pablo Barrios ";2;0;1;3;0;1;4;0;1;1;4;0;1;1;0
"Rodrigo de Paul";5;0;5;2;0;7;7;1;8;0;6;3;0;1;0
"Rodrigo Riquelme";1;1;6;0;0;0;3;0;12;2;0;0;5;0;1
"Saul Niguez";0;0;1;1;0;0;1;0;0;1;0;2;0;1;0
