"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Caglar Soyuncu";"Cesar Azpilicueta";"Jan Oblak";"Jose Gimenez";"Koke";"Mario Hermoso";"Memphis Depay";"Nahuel Molina";"Rodrigo de Paul";"Samuel Lino";"Saul Niguez";"Stefan Savic"
"Alvaro Morata";0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0
"Angel Correa";0;0;2;4;0;0;0;0;0;3;0;2;3;1;2;1
"Antoine Griezmann";0;2;0;2;0;0;0;0;0;1;0;0;6;1;1;2
"Axel Witsel";0;4;3;0;2;0;0;3;0;8;0;4;8;3;3;8
"Caglar Soyuncu";0;0;0;1;0;6;0;0;1;15;0;0;3;0;0;5
"Cesar Azpilicueta";0;0;0;0;4;0;3;0;2;0;0;2;6;0;1;0
"Jan Oblak";0;0;0;1;2;1;0;6;1;4;0;0;0;1;0;10
"Jose Gimenez";0;0;0;1;0;0;4;0;0;12;0;0;0;0;2;13
"Koke";1;0;0;0;1;2;1;0;0;5;2;1;1;1;0;4
"Mario Hermoso";1;1;1;10;9;1;6;4;4;0;3;0;0;17;5;5
"Memphis Depay";0;0;0;0;0;0;0;0;1;1;0;1;1;6;2;0
"Nahuel Molina";0;2;2;4;0;3;1;0;2;0;1;0;10;0;2;17
"Rodrigo de Paul";1;4;3;5;2;1;0;2;1;2;2;10;0;4;2;7
"Samuel Lino";0;0;2;6;0;1;0;0;4;13;5;0;4;0;8;1
"Saul Niguez";0;2;4;4;1;1;0;3;1;7;3;1;1;5;0;3
"Stefan Savic";0;2;1;3;9;0;7;15;2;2;0;23;7;1;2;0
