"";"Alan Varela";"Danny Namaso";"Diogo Costa";"Evanilson";"Fabio Cardoso";"Francisco Conceicao";"Galeno";"Joao Mario";"Jorge Sanchez";"Mehdi Taremi";"Nico Gonzalez";"Pepe_14926";"Pepe_66499";"Stephen Eustaquio";"Toni Martinez";"Zaidu Sanusi"
"Alan Varela";0;0;1;2;5;1;1;1;2;1;1;3;4;5;0;5
"Danny Namaso";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Diogo Costa";2;0;0;0;11;0;1;1;2;0;0;7;1;0;0;1
"Evanilson";2;0;0;0;1;0;1;0;0;1;0;0;5;0;0;0
"Fabio Cardoso";4;0;11;1;0;0;2;0;0;0;0;4;0;5;0;9
"Francisco Conceicao";1;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0
"Galeno";4;0;0;0;1;0;0;0;0;4;2;1;1;0;0;2
"Joao Mario";2;0;0;4;0;0;1;0;0;0;0;5;8;0;0;0
"Jorge Sanchez";1;0;1;1;0;0;0;0;0;3;1;2;1;0;0;1
"Mehdi Taremi";0;0;0;1;1;1;0;0;0;0;0;1;5;3;0;0
"Nico Gonzalez";1;0;0;0;0;3;0;0;1;0;0;0;0;0;0;1
"Pepe_14926";3;0;11;0;1;2;0;9;2;0;1;0;4;0;0;0
"Pepe_66499";1;0;1;4;1;0;3;1;1;6;0;3;0;4;0;2
"Stephen Eustaquio";1;0;1;0;5;0;0;1;1;0;0;4;2;0;0;3
"Toni Martinez";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"Zaidu Sanusi";2;0;1;1;9;0;3;0;0;2;1;1;2;1;0;0
