"";"Alessandro Florenzi";"Christian Pulisic";"Davide Calabria";"Fikayo Tomori";"Malick Thiaw";"Mike Maignan";"Noah Okafor";"Olivier Giroud";"Rafael Leao";"Samuel Chukwueze";"Theo Hernandez";"Tijjani Reijnders";"Tommaso Pobega";"Yacine Adli";"Yunus Musah"
"Alessandro Florenzi";0;0;0;1;0;0;0;0;1;3;0;0;0;0;0
"Christian Pulisic";0;0;3;0;0;0;0;1;1;0;0;1;0;2;2
"Davide Calabria";0;2;0;2;9;1;0;3;0;0;0;3;1;0;4
"Fikayo Tomori";0;0;0;0;12;2;0;2;2;2;12;4;1;0;1
"Malick Thiaw";3;4;12;6;0;3;0;0;0;2;3;1;0;1;3
"Mike Maignan";1;0;2;7;4;0;0;0;0;0;7;0;0;2;0
"Noah Okafor";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"Olivier Giroud";0;0;0;0;2;0;0;0;1;0;0;5;0;0;2
"Rafael Leao";0;1;0;0;2;1;0;3;0;2;8;2;3;2;0
"Samuel Chukwueze";1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"Theo Hernandez";0;1;0;12;3;0;1;1;19;0;0;4;6;2;3
"Tijjani Reijnders";0;2;1;5;2;0;2;1;5;0;3;0;2;0;1
"Tommaso Pobega";0;0;0;2;0;0;0;0;4;0;2;0;0;0;0
"Yacine Adli";0;1;0;1;1;0;0;0;2;1;2;2;0;0;1
"Yunus Musah";1;2;2;1;2;0;0;2;3;0;1;3;0;0;0
