"";"Alex Remiro";"Ander Barrene";"Andre Silva";"Benat Turrientes";"Brais Mendez";"Hamari Traore";"Igor Zubeldia";"Javi Galan";"Jon Olasagasti";"Jon Pacheco";"Martin Zubimendi";"Mikel Merino";"Mikel Oyarzabal";"Robin Le Normand";"Sheraldo Becker";"Takefusa Kubo"
"Alex Remiro";0;0;0;0;0;1;0;2;0;0;0;0;0;3;0;0
"Ander Barrene";0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0
"Andre Silva";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Benat Turrientes";0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0
"Brais Mendez";0;0;0;0;0;0;2;0;0;0;1;1;1;2;1;3
"Hamari Traore";2;0;1;1;1;0;2;0;0;0;4;4;2;1;0;4
"Igor Zubeldia";4;0;0;0;1;2;0;1;0;0;3;2;1;3;0;1
"Javi Galan";1;2;0;0;1;0;1;0;0;2;4;2;2;13;3;0
"Jon Olasagasti";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2
"Jon Pacheco";4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Martin Zubimendi";4;0;1;0;1;2;4;4;0;1;0;2;0;11;3;1
"Mikel Merino";0;4;0;0;2;4;1;2;0;0;1;0;3;2;2;2
"Mikel Oyarzabal";0;0;0;0;1;2;1;1;0;0;6;0;0;1;0;4
"Robin Le Normand";6;1;0;0;1;0;0;10;0;1;9;4;3;0;4;3
"Sheraldo Becker";0;0;0;0;1;0;0;3;0;0;2;1;1;0;0;1
"Takefusa Kubo";0;1;0;2;2;3;0;1;1;0;1;0;2;0;1;0
