"";"Abel Ruiz";"Al Musrati";"Andre Horta";"Bruma";"Cristian Borja ";"Joao Moutinho";"Joe Mendes";"Jose Fonte";"Matheus";"Pizzi";"Ricardo Horta";"Rodrigo Zalazar";"Rony Lopes";"Serdar Saatci";"Simon Banza";"Victor Gomez"
"Abel Ruiz";0;1;0;3;1;0;1;0;0;0;0;0;1;0;2;1
"Al Musrati";1;0;2;3;1;2;1;1;1;0;1;0;0;1;2;1
"Andre Horta";0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"Bruma";3;2;1;0;8;5;0;0;0;2;3;5;0;2;2;1
"Cristian Borja ";2;3;0;10;0;6;0;1;2;2;2;2;0;2;1;1
"Joao Moutinho";1;1;0;6;0;0;0;5;0;4;10;15;0;1;4;12
"Joe Mendes";1;0;1;0;0;0;0;0;0;0;0;0;2;1;1;0
"Jose Fonte";0;2;1;0;0;5;1;0;4;2;1;2;0;5;1;5
"Matheus";0;0;1;1;1;0;0;5;0;1;0;0;0;4;0;1
"Pizzi";0;0;0;3;1;3;0;3;0;0;3;1;0;2;0;6
"Ricardo Horta";0;1;0;2;3;6;0;1;0;7;0;4;0;0;1;3
"Rodrigo Zalazar";0;0;0;8;1;8;0;3;0;5;3;0;0;1;3;2
"Rony Lopes";1;1;1;0;0;0;2;0;0;0;0;0;0;0;1;0
"Serdar Saatci";0;1;0;3;8;5;0;4;2;1;0;1;0;0;1;1
"Simon Banza";0;1;1;1;0;4;0;0;0;2;3;2;2;1;0;1
"Victor Gomez";0;1;0;6;0;8;0;8;1;1;8;3;0;1;2;0
