"";"Alessandro Florenzi";"Christian Pulisic";"Davide Calabria";"Fikayo Tomori";"Malick Thiaw";"Marco Sportiello";"Mike Maignan";"Olivier Giroud";"Rade Krunic";"Rafael Leao";"Ruben Loftus-Cheek";"Samuel Chukwueze";"Theo Hernandez";"Tijjani Reijnders";"Tommaso Pobega";"Yunus Musah"
"Alessandro Florenzi";0;6;0;1;4;0;0;2;5;0;2;2;2;0;0;1
"Christian Pulisic";2;0;0;1;0;0;0;1;1;0;0;0;0;0;0;2
"Davide Calabria";0;0;0;0;5;0;3;3;2;0;0;7;0;0;0;0
"Fikayo Tomori";0;0;0;0;4;1;14;0;13;1;0;1;9;5;2;0
"Malick Thiaw";4;1;3;9;0;1;5;0;5;0;2;5;0;0;0;1
"Marco Sportiello";0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0
"Mike Maignan";2;0;3;6;5;0;0;0;2;0;0;0;4;0;0;0
"Olivier Giroud";0;0;1;0;1;0;0;0;1;0;2;1;0;0;0;0
"Rade Krunic";6;0;1;11;12;1;2;0;0;3;2;1;6;3;2;5
"Rafael Leao";0;0;0;0;1;0;0;0;5;0;0;2;3;2;3;0
"Ruben Loftus-Cheek";0;0;0;0;0;0;0;0;2;2;0;3;1;0;1;0
"Samuel Chukwueze";2;0;2;0;0;0;2;2;2;0;4;0;1;0;1;0
"Theo Hernandez";0;0;0;10;1;0;2;2;7;9;2;0;0;5;5;2
"Tijjani Reijnders";2;0;0;2;1;0;0;0;5;3;0;0;1;0;0;2
"Tommaso Pobega";0;0;0;0;0;0;1;0;2;5;0;1;3;0;0;0
"Yunus Musah";4;1;0;1;1;0;0;0;1;0;0;0;3;1;0;0
