"";"Andre Ramalho";"Armel Bella Kotchap";"Hirving Lozano";"Ismael Saibari";"Jerdy Schouten";"Joey Veerman";"Johan Bakayoko";"Jordan Teze";"Luuk de Jong";"Malik Tillman";"Noa Lang";"Olivier Boscagli";"Ricardo Pepi";"Sergino Dest";"Walter Benitez"
"Andre Ramalho";0;0;0;0;7;2;1;8;1;1;0;23;0;1;4
"Armel Bella Kotchap";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"Hirving Lozano";0;0;0;1;0;0;0;2;0;0;0;0;0;0;0
"Ismael Saibari";0;0;0;0;1;0;0;0;0;1;3;1;1;1;0
"Jerdy Schouten";9;0;0;1;0;6;4;9;1;7;3;2;0;4;0
"Joey Veerman";4;0;0;0;7;0;2;2;3;1;10;5;0;5;0
"Johan Bakayoko";4;0;0;0;0;5;0;10;0;4;1;1;0;0;0
"Jordan Teze";6;1;4;0;8;8;11;0;3;5;1;2;0;0;0
"Luuk de Jong";0;0;0;0;1;3;3;0;0;2;2;0;0;0;0
"Malik Tillman";2;0;1;0;2;5;3;2;3;0;4;1;0;2;0
"Noa Lang";0;0;0;1;4;2;3;1;1;5;0;1;1;6;0
"Olivier Boscagli";9;0;0;0;5;7;0;0;0;3;9;0;0;9;3
"Ricardo Pepi";0;0;0;1;1;0;0;0;0;1;1;0;0;0;0
"Sergino Dest";1;0;0;2;2;7;0;0;3;4;14;7;1;0;1
"Walter Benitez";3;0;0;0;1;0;0;0;0;0;0;3;0;2;0
